Camera,SD_Card,Round,ForestType,Forest,Season,inv_simp,div_shan,ForestSimpson,ForestShannon,ForestSR,meanTreeDensity,meanTreeDominance,meanSeedlingSaplingDensity,meanSSDominance,MeanAllDensity,meanAllDominance,SpecRichness,NumDeer,RoadDensity50,PlotSize50,Aspect50,Slope50,P_Water50,P_Mixed50,P_Evergreen50,P_Deciduous50,P_Forest50,P_Development50,P_Agriculture50,P_Barren50,P_Shrub50,P_Wetland50,P_Herb50,PPT_50,Elevation50,Cam_Model,Cam_Orient,PPT_100,Slope100,Elevation100,RoadDensity100,PlotSize100,Cam_Orient100,Aspect100,P_Water100,P_Mixed100,P_Evergreen100,P_Deciduos100,P_Forest100,P_Development100,P_Agriculture100,P_Barren100,P_Shrub100,P_Wetland100,P_Herb100
6,9,2,Deciduous,DON,Spring,NA,NA,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,NA,NA,1.025270355,726.127109,289.798889,18.37304306,0,3.942652,22.939068,56.272401,83.154121,4.301075,0.896057,0,0.179211,12.18638,0,91.68359375,111,Browning ,51,90.55780029,3.64697051,134,0,726.1271087,146,258.6900635,2.070207,1.440144,26.462646,46.264626,74.167416,0,0,0,4.950495,16.471647,1.980198
8,11,2,Pine,DEG,Spring,1,0,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,1,5,1.542222632,520.20841,315,1.012750387,0,0,25.806452,58.602151,84.408603,4.301075,0,0,2.867384,8.781362,0,104.4089966,199,Bushnell HD,58,94.6006012,1.012750387,128,0,726.1271087,302,135,5.670567,1.260126,23.312331,57.335734,81.908191,0,0,0,7.380738,2.160216,2.790279
9,34,2,Pine,WF,Spring,NA,NA,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,NA,NA,0,726.127109,87.5104446,16.05431557,2.150538,1.25448,37.275986,50.179211,88.709677,0,7.526882,0,1.612903,0.358423,0,123.1381989,117,Bushnell HD,46,104.4089966,5.051152706,274,0,561.5631565,161,98.13010406,1.170117,1.080108,0,97.479748,98.559856,0,0,0,0,0,0
10,25,2,Deciduous,SH,Spring,1,0,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,1,3,2.441356311,474.131796,NA,0,0,0,84.767025,1.075269,85.842294,1.792115,0,0,0,7.526882,5.555556,96.62519836,251,Browning ,12,88.53279877,20.45103073,145,0,637.1882833,306,166.4295654,1.980198,0,0,82.358236,82.358236,0,0.090009,0,0,14.221422,1.260126
11,21,2,Deciduous,BC,Spring,NA,NA,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,NA,0,637.188283,135,1.012750387,2.329749,0,2.150538,82.97491,85.125448,0,0,0,0,13.082437,0,96.86520386,147,Bushnell HD,98,93.27200317,1.012750387,147,0,637.1882833,98,135,6.750675,0,1.530153,74.527453,76.057606,0,0,0,0,16.20162,0.990099
14,5,2,Deciduous,DON,Spring,2.571428571,1.011404265,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,3,2,1.610240456,474.131796,225,1.012750387,0,0.537634,60.9319,24.551971,86.021505,0,0,0,8.064516,3.584229,1.971326,96.62519836,254,Bushnell HD,334,94.0141983,8.984876633,126,0.102861,637.1882833,222,288.4349365,0.630063,1.080108,7.830783,67.866787,76.777678,0.270027,0,0,0,21.242124,0.810081
15,35,2,Pine,DEG,Spring,1.851851852,0.801818553,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,3,7,0.661620612,726.127109,333.434937,6.379370213,0,0.896057,17.741935,58.422939,77.060931,2.867384,0,0,0,20.250896,0,123.1381989,99,Browning ,206,97.68659973,2.263636112,286,0.605299,561.5631565,256,251.5650482,2.790279,0.270027,1.890189,90.549055,92.709271,0,0,0,1.80018,3.060306,0
17,8,2,Deciduous,BC,Spring,4.196721311,1.748745878,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,9,13,1.23360469,474.131796,NA,0,0,1.433692,58.602151,18.817204,78.853047,0,0,0,8.243728,13.261649,0,96.62519836,250,Browning ,218,98.48180389,1.012750387,231,0.309171,950.5800525,121,225,0,10.531053,40.054005,29.612961,80.198019,0,0.720072,0,2.070207,17.371737,0
18,40,2,Pine,WHIP,Spring,1.846322722,1.054850691,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,8,42,0,561.563156,293.962494,13.83230305,0,3.942652,0,96.057348,100,0,0,0,0,0,0,92.95980072,223,Bushnell HD,322,92.54319763,4.289153576,279,0,561.5631565,172,270,2.70027,3.330333,5.580558,81.638164,90.549055,0,0,0,1.170117,6.210621,0
21,1,2,Deciduous,DON,Spring,1.246153846,0.348832096,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,2,8,0,726.127109,265.601288,9.256682396,16.129032,0,13.620072,57.885305,71.505377,0,0,0,3.046595,10.035842,0,120.1684036,122,Bushnell HD,30,104.4089966,9.256682396,270,0.606199,561.5631565,244,237.5288086,0.810081,1.620162,2.610261,94.779478,99.009901,0,0,0,0,0.450045,0
22,31,2,Pine,WF,Spring,1.491285403,0.74078806,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,7,60,0.267861281,726.127109,90,14.03624344,4.480287,0,10.215054,67.02509,77.240144,1.433692,0,0,13.082437,0,3.763441,120.1684036,121,Bushnell HD,280,84.79499817,2.8624053,125,0,726.1271087,13,0,1.890189,1.80018,51.935194,36.993699,90.729073,0,0,0,1.620162,4.230423,1.260126
23,16,2,Deciduous,SH,Spring,1.515151515,0.63903186,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,3,8,0,950.580053,225,1.012750387,0,13.620072,31.362007,31.003584,75.985663,0,0,0,0.537634,23.11828,0,97.57499695,231,Bushnell HD,121,96.86520386,3.199601412,262,1.365891,474.1317962,354,296.5650635,0.630063,0.810081,57.69577,27.90279,86.408641,1.350135,0,0,2.070207,5.580558,4.230423
24,18,2,Deciduous,BC,Spring,2.456090652,1.123819294,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,6,28,0,950.580053,NA,0,3.046595,7.526882,15.412186,70.071685,93.010753,0,0,0,0.896057,3.225806,0,97.57499695,277,Browning ,37,119.0617981,14.88256741,227,1.181472,520.2084104,168,131.1859283,0,4.050405,25.292529,60.846085,90.189019,5.580558,0,0,0,3.780378,0
25,6,2,Deciduous,SH,Spring,1.28,0.376770161,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,2,7,0,726.127109,225,1.012750387,0,1.075269,70.071685,28.136201,99.283155,0,0,0,1.612903,0,0,120.1684036,132,Browning ,280,98.40180206,1.012750387,254,1.337998,474.1317962,334,225,0.630063,1.350135,60.756076,25.20252,87.308731,0.180018,0,0,4.140414,6.30063,1.440144
27,3,2,Deciduous,DON,Spring,1,0,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,1,4,0,474.131796,108.434952,2.263636112,0,5.017921,12.18638,35.483871,52.688172,0,0,0,0,47.491039,0,94.88400269,246,Browning ,200,91.68359375,18.54197884,156,0.448026,637.1882833,234,153.4349518,0,0,0,54.275428,54.275428,1.980198,10.171017,0,9.540954,24.482448,0.090009
28,38,2,Pine,DEG,Spring,1.724137931,0.610864302,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,2,7,0,726.127109,90,2.8624053,1.971326,3.225806,47.670251,37.634409,88.530466,0,0,0,3.405018,6.630824,0,91.81259918,130,Bushnell HD,46,94.88400269,0,144,0,637.1882833,189,NA,1.890189,0,0.990099,78.217822,79.207921,0,0,0,2.70027,16.561656,0
29,12,2,Pine,DEG,Spring,1.208219178,0.314492201,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,2,19,0,950.580053,335.556,8.588925362,,4.121864,45.878136,43.189964,93.189964,0,0,0,0,6.989247,0,102.7360001,258,Bushnell HD,215,89.65440369,0,140,0,637.1882833,178,NA,3.330333,0,1.890189,78.937894,80.828083,0,0,0,0,16.20162,0
30,22,2,Deciduous,BC,Spring,2.571746385,1.230779542,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,6,39,0,561.563156,98.1301041,5.051152706,0,0,0,100,100,0,0,0,0,0,0,99.28639984,274,Bushnell HD,161,99.76599884,11.30993271,189,0.756377,520.2084104,233,180,,1.530153,16.291629,70.29703,88.118812,2.610261,,,8.640864,0.360036,
31,41,2,Pine,WHIP,Spring,1.684210526,0.73562194,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,3,6,0,637.188283,NA,0,4.301075,0,0,87.992832,87.992832,0,0,0,0,6.09319,1.612903,90.55780029,140,Bushnell HD,180,97.57499695,0,140,0,637.1882833,180,NA,5.040504,0,0,76.59766,76.59766,0,0,0,0.720072,13.321332,4.230423
32,39,2,Pine,WHIP,Spring,1.8,0.636514168,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,2,2,0.513261553,726.127109,180,11.30993271,0,1.075269,28.494624,65.949821,95.519714,1.792115,0,0,2.867384,0.358423,0.537634,85.30079651,119,Browning ,263,96.62519836,2.02486825,220,0,520.2084104,92,45,0,10.80108,35.283528,49.50495,95.589558,0,0,0,0.270027,4.410441,0
33,32,2,Pine,WF,Spring,1,0,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,1,3,0,520.20841,NA,0,0,0,8.781362,34.408602,43.189964,0,11.648746,0,41.577061,2.508961,0,99.76599884,196,Browning ,17,123.1381989,1.012750387,255,0.549441,474.1317962,278,315,5.490549,0.540054,27.092709,63.546355,91.179118,,,,0.360036,2.880288,0.360036
1,12,3,Deciduous,DON,Summer,NA,NA,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,NA,NA,0.820084703,520.20841,206.565048,6.379370213,1.792115,1.971326,30.645161,58.602151,91.218638,0,0,0,0,7.168459,0,104.4089966,276,Bushnell HD,80,99.28639984,11.179986,219,0.782655,520.2084104,7,325.3048401,0,8.10081,26.192619,56.075608,90.369037,3.690369,0,0,0,5.580558,0
3,5,3,Deciduous,SH,Summer,2.666666667,1.039720771,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,1,1,0,726.127109,258.690063,3.64697051,4.121864,1.612903,30.824373,49.283154,81.72043,0,0,0,3.584229,8.064516,2.508961,91.68359375,134,Bushnell HD,146,97.68659973,8.984876633,279,0.756377,561.5631565,196,108.4349518,4.320432,2.070207,0,85.688569,87.758776,0,0,0,0.810081,7.380738,0
4,11,3,Pine,WHIP,Summer,NA,NA,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,NA,NA,0.905170002,474.131796,296.565063,3.199601412,1.25448,1.25448,63.261649,27.419355,91.935484,0,0,0,0,4.121864,2.150538,85.8302002,262,Bushnell HD,354,92.54319763,8.984876633,279,0.756377,561.5631565,226,108.4349518,4.320432,2.070207,0,85.688569,87.758776,0,0,0,0.810081,7.380738,0
6,41,3,Deciduous,DON,Summer,1.222545455,0.421126771,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,4,37,0.44764805,561.563156,124.380348,16.05431557,0,2.867384,3.225806,91.397849,97.491039,0,0,0,0,2.329749,0,97.68659973,257,Browning ,331,104.4089966,11.69020844,227,0,561.5631565,278,295.0169067,0,0.630063,2.160216,95.769577,98.559856,0,0,0,0,1.440144,0
6,42,3,Pine,WF,Summer,NA,NA,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,NA,NA,0.698624119,474.131796,59.0362434,4.168739796,0,3.046595,69.892473,10.035842,82.97491,0.179211,0,0,0,17.383513,0,83.87879944,250,Browning ,298,98.48180389,0,277,0,950.5800525,37,NA,2.70027,6.750675,13.231323,66.156616,86.138614,0,0,0,2.430243,8.460846,0.360036
7,9,3,Deciduous,DON,Summer,NA,NA,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,NA,NA,0,474.131796,NA,0,0.179211,0,68.458781,17.204301,85.663082,0,0,0,0,13.261649,1.433692,87.71920013,250,Browning ,18,83.87879944,4.520227432,222,0,950.5800525,224,341.5651,1.080108,10.441044,42.934293,31.50315,84.878487,0,2.340234,0,0,11.971197,0
8,21,3,Pine,DEG,Summer,NA,NA,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,NA,NA,0,520.20841,258.690063,14.30291462,0.537634,8.243728,37.275986,39.784946,85.30466,0,0,0,6.451613,2.508961,4.659498,104.4089966,210,Browning ,138,119.0617981,5.885129452,212,1.071322,520.2084104,227,14.03624249,0,6.930693,19.621962,65.256526,91.809181,4.230423,0,0,0,4.050405,0
10,1,3,Deciduous,SH,Summer,NA,NA,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,NA,NA,0.520525552,950.580053,0,3.035723686,0,5.197133,69.713262,20.430108,95.340503,0,0,0,3.584229,0,0,119.0617981,253,Bushnell HD,232,92.95980072,2.8624053,238,0.418124,950.5800525,356,270,0,11.071107,52.115212,23.40234,86.588659,0,3.060306,0,0.540054,8.550855,0.990099
11,31,3,Deciduous,BC,Summer,NA,NA,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,NA,NA,0.688304954,561.563156,251.565048,2.263636112,1.075269,0,1.25448,92.293907,93.548387,0,0,0,3.046595,2.867384,0,94.6006012,286,Bushnell HD,256,94.92060089,2.263636112,132,0,726.1271087,304,251.5650482,0.720072,1.260126,55.625563,35.553555,92.439244,0,0,0,0.990099,6.030603,0
14,17,3,Pine,WF,Summer,2.00520382,0.90743016,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,5,19,0,637.188283,NA,0,1.971326,0,1.971326,83.512545,85.483871,0,0,0,1.792115,10.035842,0,96.86520386,144,Bushnell HD,189,95.92179871,2.263636112,132,0,726.1271087,288,251.5650482,0.720072,1.260126,55.625563,35.553555,92.439244,,,,0.990099,6.030603,
15,16,3,Pine,WHIP,Summer,4.543345543,1.712071491,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,8,14,0,637.188283,333.434937,3.199601412,3.405018,0,0.179211,85.663082,85.842293,0,0,0,0,10.9319,0,96.86520386,113,Browning ,164,85.59600067,5.438007832,121,0,726.1271087,297,23.19859,8.010801,2.070207,43.744374,41.044104,86.858685,0,0,0,1.260126,3.780378,0
